82, 72, [water pump, PVC elbow joint, Flow restrictor, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 73, [water pump, PVC elbow joint, Inline water flow regulator, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


82, 73, [water pump, PVC elbow joint, Inline water flow regulator, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


82, 73, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Drainage spout, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 73, [water pump, PVC elbow joint, Inline water flow regulator, Francis Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 73, [water pump, Rubber tubing with clamps, Ball valve, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 73, [water pump, Rubber tubing with clamps, Ball valve, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 73, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Flexible discharge hose, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 73, [water pump, Flexible hose, Adjustable clamp, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 73, [water pump, Adjustable hose nozzle, Ball valve, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 73, [water pump, Adjustable hose nozzle, Ball valve, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 73, [water pump, Flexible hose, Ball valve, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


82, 73, [water pump, Flexible hose, Ball valve, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


82, 73, [water pump, Flexible hose, Ball valve, Francis Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, PVC elbow joint, Inline water flow regulator, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


82, 75, [water pump, PVC elbow joint, Inline water flow regulator, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


82, 75, [water pump, Rubber tubing with clamps, Flow restrictor, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, PVC elbow joint, Inline water flow regulator, Kaplan Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, PVC elbow joint, Inline water flow regulator, Francis Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, Adjustable hose nozzle, Flow restrictor, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, PVC elbow joint, Inline water flow regulator, Pelton Wheel Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 75, [water pump, PVC elbow joint, Ball valve, Pelton Wheel Turbine, Flexible discharge hose, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, Rubber tubing with clamps, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 75, [water pump, Rubber tubing with clamps, Ball valve, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, PVC elbow joint, Inline water flow regulator, Pelton Wheel Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Drainage spout, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, Flexible hose, Flow restrictor, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, Flexible hose, Adjustable clamp, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, Adjustable hose nozzle, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 75, [water pump, Adjustable hose nozzle, Ball valve, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Flexible discharge hose, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, Flexible hose, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


82, 75, [water pump, Flexible hose, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


82, 75, [water pump, Flexible hose, Ball valve, Kaplan Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, Flexible hose, Ball valve, Francis Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 75, [water pump, Flexible hose, Ball valve, Pelton Wheel Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 75, [water pump, Flexible hose, Ball valve, Pelton Wheel Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 76, [water pump, PVC elbow joint, Inline water flow regulator, Crossflow Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 76, [water pump, Flexible hose, Ball valve, Crossflow Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 77, [water pump, PVC elbow joint, Inline water flow regulator, Kaplan Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 77, [water pump, Rubber tubing with clamps, Flow restrictor, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 77, [water pump, Adjustable hose nozzle, Flow restrictor, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 77, [water pump, Flexible hose, Flow restrictor, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 77, [water pump, Flexible hose, Flow restrictor, Pelton Wheel Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 77, [water pump, Flexible hose, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 78, [water pump, PVC elbow joint, Inline water flow regulator, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 78, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Flexible discharge hose, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 78, [water pump, Flexible hose, Ball valve, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 80, [water pump, PVC elbow joint, Inline water flow regulator, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 80, [water pump, Flexible hose, Flow restrictor, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 80, [water pump, Flexible hose, Flow restrictor, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 80, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Flexible discharge hose, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 80, [water pump, PVC elbow joint, Flow restrictor, Francis Turbine, Flexible discharge hose, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 80, [water pump, Flexible hose, Ball valve, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 82, [water pump, Flexible hose, Flow restrictor, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 82, [water pump, Flexible hose, Flow restrictor, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 82, [water pump, PVC elbow joint, Flow restrictor, Kaplan Turbine, Flexible discharge hose, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 83, [water pump, Rubber tubing with clamps, Inline water flow regulator, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 83, [water pump, Adjustable hose nozzle, Inline water flow regulator, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 83, [water pump, Flexible hose, Inline water flow regulator, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 85, [water pump, Rubber tubing with clamps, Inline water flow regulator, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 85, [water pump, Adjustable hose nozzle, Inline water flow regulator, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 85, [water pump, Flexible hose, Inline water flow regulator, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]
